name,en_US,ja_JP,ko_KR,cn_CN
SourceToolsButton.URL,https://github.com/Artfunkel/BlenderSourceTools,,,https://github.com/Artfunkel/BlenderSourceTools
SourceToolsButton.success,Source Tools link opened,,,Source 工具插件下载链接已打开
VrmToolsButton.label,Download VRM Importer,VRMインポーターをダウンロード,VRM Importer 다운로드,下载 VRM 导入插件
VrmToolsButton.URL_2.79,https://github.com/iCyP/VRM_IMPORTER_for_Blender2_79,,,https://github.com/iCyP/VRM_IMPORTER_for_Blender2_79
VrmToolsButton.URL_2.8,https://github.com/saturday06/VRM_IMPORTER_for_Blender2_8,,,https://github.com/saturday06/VRM_IMPORTER_for_Blender2_8
VrmToolsButton.success,VRM Importer link opened,,,VRM 导入插件下载链接已打开
ExportModel.label,Export Model,モデルのエクスポート,모델 내보내기,导出模型
ExportModel.desc,"Export this model as .fbx for Unity.

Automatically sets the optimal export settings",,,"将模型导出为 Unity 兼容的.fbx 格式
自动配置最优导出参数"
ExportModel.error.notEnabled,FBX Exporter not enabled! Please enable it in your User Preferences.,,,未启用 FBX 导出器！请在用户偏好设置中启用
ErrorDisplay.label,Warning:,警告:,경고:,警告：
ErrorDisplay.polygons1,Too many polygons!,,,模型面数过多！
ErrorDisplay.polygons2,"You have {number} tris in this model, but you shouldn't have more than 70,000!",,,当前模型有 {number} 个三角面，建议不要超过 70000 个。
ErrorDisplay.polygons3,You should decimate before you export this model.,,,请先执行减面操作，再导出模型
ErrorDisplay.materials1,Model not optimized!,,,模型未优化！
ErrorDisplay.materials2,This model has {number} materials!,,,当前模型有 {number} 个材质。
ErrorDisplay.materials3,You should try to have a maximum of 4 materials on your model.,,,模型材质数量建议不超过 4 个
ErrorDisplay.materials4,"Creating a texture atlas in CATS is very easy, so please make use of it.",,,在 CATS 插件中创建纹理图集操作简单，建议充分使用该功能
ErrorDisplay.meshes1,Meshes not joined!,,,网格未合并！
ErrorDisplay.meshes2,This model has {number} meshes!,,,当前模型有 {number} 个网格对象。
ErrorDisplay.meshes3,It is not very optimized and might cause lag for you and others!,,,模型优化程度不足，可能导致自身及他人端运行卡顿
ErrorDisplay.meshes3_alt,It is extremely unoptimized and will cause laugh for you and others!,,,模型优化程度极差，将导致自身及他人端严重卡顿
ErrorDisplay.meshes4,"You should always join your meshes, it's very easy:",,,建议务必合并模型网格，操作方法十分简单：
ErrorDisplay.JoinMeshes.label,Join Meshes,メッシュに参加する,메쉬 통합,合并网格
ErrorDisplay.brokenShapekeys1,Broken shapekeys!,,,形状键损坏！
ErrorDisplay.brokenShapekeys2,This model has {number} broken shapekey(s):,,,当前模型有 {number} 个损坏的形状键：
ErrorDisplay.brokenShapekeys3,You will not be able to upload this model until you fix these shapekeys.,,,修复该问题前，模型无法完成上传
ErrorDisplay.brokenShapekeys4,Either delete or repair them before export.,,,请在导出前删除或修复损坏的形状键
ErrorDisplay.textures1,No textures found!,,,未检测到纹理！
ErrorDisplay.textures2,This model has no textures assigned but you have 'Embed Textures' enabled.,,,当前模型未分配任何纹理，但已启用「嵌入纹理」功能
ErrorDisplay.textures3,"Therefore, no textures will be embedded into the FBX.",,,因此，将无任何纹理被嵌入至 FBX 文件中
ErrorDisplay.textures4,"This is not an issue, but you will have to import the textures manually into Unity.",,,该情况不属于错误，但你需要手动将纹理导入至 Unity 中
ErrorDisplay.eyes1,Eyes not named 'Body'!,,,眼球所在网格未命名为 Body！
ErrorDisplay.eyes2,The mesh '{name}' has Eye Tracking shapekeys but is not named 'Body'.,,,网格「{name}」包含眼球追踪形状键，但未命名为 Body。
ErrorDisplay.eyes2_alt,Multiple meshes have Eye Tracking shapekeys but are not named 'Body'.,,,多个网格包含眼球追踪形状键，但均未命名为 Body
ErrorDisplay.eyes3,"If you want Eye Tracking to work, rename this mesh to 'Body'.",,,若需启用眼球追踪功能，请将该网格重命名为 Body
ErrorDisplay.eyes3_alt,Make sure that the mesh containing the eyes is named 'Body' in order,,,请确保包含眼球的网格命名为 Body
ErrorDisplay.eyes4_alt,to get Eye Tracking to work.,,,以正常使用眼球追踪功能
ErrorDisplay.continue,Continue to Export,,,继续导出
OneTexPerMatButton.label,One Material Texture,1つのマテリアルテクスチャ,매테리얼당 하나의 텍스처,单材质纹理
OneTexPerMatButton.desc,Have all material slots ignore extra texture slots as these are not used by VRChat.,,,让所有材质槽忽略额外纹理槽，VRChat 不支持该类纹理槽
OneTexPerMatOnlyButton.label,One Material Texture,1つのマテリアルテクスチャ,매테리얼당 하나의 텍스처,单材质纹理
OneTexPerMatOnlyButton.desc,"Have all material slots ignore extra texture slots as these are not used by VRChat.
Also removes the textures from the material instead of disabling it.
This makes no difference, but cleans the list for the perfectionists",,,"让所有材质槽忽略额外纹理槽，VRChat 不支持该类纹理槽
同时从材质中移除冗余纹理，而非仅禁用
此操作无实际功能差异，仅为追求极致整洁的用户清理纹理列表"
ToolsMaterial.error.notCompatible,This function is not yet compatible with Blender 2.8!,,,该功能暂未兼容 Blender 2.8 版本！
OneTexPerXButton.success,All materials have one texture now.,,,所有材质现已仅保留单个纹理
StandardizeTextures.label,Standardize Textures,テクスチャを標準化する,텍스처들 표준화,标准化纹理
StandardizeTextures.desc,"Enables Color and Alpha on every texture, sets the blend method to Multiply
and changes the materials transparency to Z-Transparency",,,"为所有纹理启用颜色与透明度通道，将混合模式设为正片叠底
并将材质透明度模式修改为 Z 轴透明度"
StandardizeTextures.success,All textures are now standardized.,,,所有纹理现已完成标准化处理
CombineMaterialsButton.label,Combine Same Materials,同じマテリアルを組み合わせる,같은 매테리얼들을 통합,合并相同材质
CombineMaterialsButton.desc,"Combines similar materials into one, reducing draw calls.
Your avatar should visibly look the same after this operation.
This is a very important step for optimizing your avatar.
If you have problems with this, please tell us!
",,,"将相似材质合并为一个，减少绘制调用次数
执行此操作后，化身的视觉显示效果应无变化
这是优化化身的关键步骤
若使用该功能时遇到问题，请向我们反馈！"
CombineMaterialsButton.error.noChanges,No materials combined.,,,无材质被合并
CombineMaterialsButton.success,Combined {number} materials!,,,已合并 {number} 个材质。
ConvertAllToPngButton.label,Convert Textures to PNG,テクスチャをPNGに変換,텍스처를 PNG로 변환,将纹理转换为 PNG 格式
ConvertAllToPngButton.desc,"Converts all texture files into PNG files.
This helps with transparency and compatibility issues.

The converted image files will be saved next to the old ones",,,"将所有纹理文件转换为 PNG 格式
该操作可解决透明度及兼容性相关问题
转换后的图片文件将保存在原纹理文件同级目录下"
ConvertAllToPngButton.success,Converted {number} to PNG files.,,,已将 {number} 个纹理转换为 PNG 文件。
RootButton.label,Parent Bones,親のボーンに接続する,부모 본,骨骼父级设置
RootButton.desc,"This will duplicate the parent of the bones and reparent them to the duplicate.
Very useful for Dynamic Bones.",,,"复制骨骼的父级骨骼，并将原骨骼重新绑定至复制后的父级骨骼
该功能对动态骨骼的设置十分实用"
RootButton.success,Bones parented!,,,骨骼父级设置完成！
RefreshRootButton.label,Refresh List,リストの更新,목록 새로고침,刷新列表
RefreshRootButton.desc,"This will clear the group bones list cache and rebuild it, useful if bones have changed or your model.",,,清空骨骼组列表缓存并重新构建，适用于骨骼或模型发生修改的场景
RefreshRootButton.success,"Root bones refreshed, check the root bones list again.",,,根骨骼列表已刷新，请重新查看根骨骼列表
RevertChangesButton.label,Revert Settings,設定を元に戻す,설정 되돌리기,还原设置
RevertChangesButton.desc,Revert the changes back to how they were on Blender start-up.,,변경 사항을 Blender 시작했을 때의 설정으로 되돌립니다.,将所有设置还原至 Blender 启动时的初始状态
RevertChangesButton.success,Settings reverted.,,설정 복구됨.,设置已还原
ResetGoogleDictButton.label,Clear Local Google Translations,ローカルのGoogle翻訳をクリア,로컬 Google 번역 지우기,清除本地谷歌翻译数据
ResetGoogleDictButton.desc,Deletes all currently saved Google Translations. You can't undo this,,현재 저장된 모든 Google 번역을 삭제합니다. 이 작업은 취소 할 수 없습니다.,删除所有当前已保存的谷歌翻译数据，该操作不可撤销
ResetGoogleDictButton.resetInfo,Local Google Dictionary cleared!,,로컬 Google 사전이 삭제되었습니다!,本地谷歌翻译词典已清空！
DebugTranslations.label,Debug Google Translations,Google翻訳をデバッグ,Google 번역 디버그,调试谷歌翻译
DebugTranslations.desc,"Tests Google translations and prints the response into a file called 'google-response.txt' located in the cats addon folder > resources
This button is only visible in the cats development version",,,"测试谷歌翻译功能，并将返回结果输出至 CATS 插件文件夹 > resources 目录下的 google-response.txt 文件中
该按钮仅在 CATS 插件开发版本中显示"
DebugTranslations.error,"Errors found, response printed!!",,,检测到错误，翻译结果已输出！
DebugTranslations.success,"No issues with Google Translations found, response printed!",,,未检测到谷歌翻译功能异常，翻译结果已输出！
ShapeKeyApplier.label,Apply Selected Shapekey to Basis,選択したシェイプキーをBasisに適用,선택된 쉐이프키를 Basis에 적용,将选中形状键应用至基础形状键
ShapeKeyApplier.desc,Applies the selected shape key to the new Basis at it's current strength and creates a reverted shape key from the selected one,,,将选中的形状键按当前强度应用至新的基础形状键，并基于该形状键创建反向形状键
ShapeKeyApplier.error.revertCustomBasis,"To revert the shape keys, please apply the ""Reverted"" shape keys in reverse order.
Start with the shape key called ""{name}"".

If you didn't change the shape key order, you can revert the shape keys from top to bottom.",,,"若需还原自定义基础形状键，请按倒序应用所有「反向」形状键。
先从名为「{name}」的形状键开始。

如果未修改形状键排序，可从上至下依次还原。"
ShapeKeyApplier.error.revertCustomBasis.scale,7.3,,,7.3
ShapeKeyApplier.error.revert,"To revert the shape keys, please apply the ""Reverted"" shape keys in reverse order.
Start with the reverted shape key that uses the relative key called ""Basis"".

If you didn't change the shape key order, you can revert the shape keys from top to bottom.",,,"若需还原形状键，请按倒序应用所有「反向」形状键
从引用基础形状键的反向形状键开始操作
若你未修改过形状键的排序，可从上至下依次还原形状键"
ShapeKeyApplier.error.revert.scale,7.3,,,7.3
ShapeKeyApplier.successRemoved,"Successfully removed shapekey ""{name}"" from the Basis.",,,已从基础形状键中移除「{name}」。
ShapeKeyApplier.successSet,"Successfully set shapekey ""{name}"" as the new Basis.",,,已将「{name}」设置为新的基础形状键。
addToShapekeyMenu.ShapeKeyApplier.label,Apply Selected Shapekey to Basis,選択したシェイプキーをBasisに適用,선택된 쉐이프키를 Basis에 적용,将选中形状键应用至基础形状键
PatreonButton.label,Become a Patron,パトロンになる,후원하기,成为赞助者
PatreonButton.URL,https://www.patreon.com/catsblenderplugin,,,https://www.patreon.com/catsblenderplugin
PatreonButton.success,Patreon page opened.,,,赞助页面
ReloadButton.label,Reload List,リストを再読み込み,목록 새로고침,已打开重新加载列表
ReloadButton.desc,Reloads the supporter list,,후원자 목록을 다시 불러옵니다,重新加载赞助者列表
DynamicPatronButton.label,Supporter Name,サポーター名,후원자 이름,赞助者名称
DynamicPatronButton.desc,This is an awesome supporter,,이것은 멋진 후원자입니다!,这是一位超棒的赞助者
register_dynamic_buttons.desc,{name} is an awesome supporter,,{name}는 멋진 후원자입니다!,维护版已移除赞助者列表：{name}
TranslateShapekeyButton.label,Translate Shape Keys,シェイプキーを翻訳する,쉐이프키 이름 번역,翻译形状键
TranslateShapekeyButton.desc,Translates all shape keys using the internal dictionary and Google Translate into English,Translates all shape keys using the internal dictionary and Google Translate,모든 쉐이프키들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,通过内置词典及谷歌翻译将所有形状键翻译为英文
TranslateShapekeyButton.success,Translated {number} shape keys.,,{number}개의 쉐이프키들이 번역되었습니다.,已翻译 {number} 个形状键。
TranslateBonesButton.label,Translate Bones,ボーンを翻訳する,본 이름 번역,翻译骨骼
TranslateBonesButton.desc,Translates all bones using the internal dictionary and Google Translate into English,Translates all bones using the internal dictionary and Google Translate,모든 본들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,通过内置词典及谷歌翻译将所有骨骼翻译为英文
TranslateBonesButton.success,Translated {number} bones.,,{number}개의 본들이 번역되었습니다.,已翻译 {number} 根骨骼。
TranslateObjectsButton.label,Translate Meshes & Objects,メッシュとオブジェクトを翻訳する,메쉬와 오브젝트들 번역,翻译网格与对象
TranslateObjectsButton.desc,Translates all meshes and objects using the internal dictionary and Google Translate into English,Translates all meshes and objects using the internal dictionary and Google Translate,모든 메쉬와 오브젝트들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,通过内置词典及谷歌翻译将所有网格和对象翻译为英文
TranslateObjectsButton.success,Translated {number} meshes and objects.,,{number}개의 메쉬들과 오브젝트들이 번역되었습니다.,已翻译 {number} 个网格与对象。
TranslateMaterialsButton.label,Translate Materials,マテリアルを翻訳する,매테리얼 번역,翻译材质
TranslateMaterialsButton.desc,Translates all materials using the internal dictionary and Google Translate into English,Translates all materials using the internal dictionary and Google Translate,모든 매테리얼들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,通过内置词典及谷歌翻译将所有材质翻译为英文
TranslateMaterialsButton.success,Translated {number} materials.,,{number}개의 매테리얼들이 번역되었습니다.,已翻译 {number} 个材质。
TranslateTexturesButton.label,Translate Textures,テクスチャを翻訳する,텍스처 번역,翻译纹理
TranslateTexturesButton.desc,Translates all textures using the internal dictionary and Google Translate into English,Translates all textures using the internal dictionary and Google Translate,모든 텍스처들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,通过内置词典及谷歌翻译将所有纹理翻译为英文
TranslateTexturesButton.success_alt,Translated all textures,,모든 텍스처들이 번역되었습니다.,已翻译所有纹理
TranslateTexturesButton.error.noInternet,Could not connect to Google. Please check your internet connection.,,구글에 연결하지 못했습니다. 인터넷 연결을 확인해주세요.,无法连接至谷歌服务器，请检查你的网络连接
TranslateTexturesButton.success,Translated {number} textures,,{number}개의 텍스처들이 번역되었습니다,已翻译 {number} 个纹理。
TranslateAllButton.label,Translate Everything,すべてを翻訳する,모두 번역,翻译所有内容
TranslateAllButton.desc,Translates everything using the internal dictionary and Google Translate into English,Translates everything using the internal dictionary and Google Translate,모든 것들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,通过内置词典及谷歌翻译将所有内容翻译为英文
TranslateAllButton.success,Translated everything.,,번역이 완료되었습니다.,所有内容翻译完成
TranslateX.error.wrongVersion,You need Blender 2.79 or higher for this function.,,이 기능을 사용하려면 Blender 2.79 이상의 버전이 필요합니다.,该功能需要 Blender 2.79 或更高版本支持
update_dictionary.error.cantConnect,Could not connect to Google. Some parts could not be translated.,,구글에 연결하지 못했습니다. 일부분은 번역되지 못했습니다.,无法连接至谷歌服务器，部分内容未完成翻译
update_dictionary.error.temporaryBan,It looks like you got banned from Google Translate temporarily!,,일시적으로 Google 번역에서 차단 된 것 같습니다!,你的 IP 地址疑似被谷歌翻译临时封禁！
update_dictionary.error.catsTranslated,"
Cats translated what it could with the local dictionary, but you will have to try again later for the Google translations.",,"
Cats Plugin은 자체 내장된 로컬 사전으로 번역 할 수 있지만 나중에 Google 번역을 하려면 나중에 다시 시도해야합니다.",CATS 插件已通过本地词典完成可翻译内容的翻译，谷歌翻译相关内容请稍后重新尝试
update_dictionary.error.cantAccess,Cats was not able to access Google Translate!,,Cats는 Google 번역에 액세스 할 수 없습니다!,CATS 插件无法访问谷歌翻译服务！
update_dictionary.error.errorMsg,You got an error message from Google Translate!,,Google 번역에서 오류 메시지를 받았습니다!,收到谷歌翻译的错误反馈！
update_dictionary.error.apiChanged,"Could not get translations from Google Translate!
This means that Google changed their API and translations will no longer work until this is fixed.
Please translate manually or wait for an CATS update.
For updates and dicussions please join our Discord. The link can be found in the Credits panel down below.",,"Google 번역에서 번역을 가져올 수 없습니다!
이는 Google이 API를 변경했으며 문제가 해결 될 때까지 번역이 더 이상 작동하지 않음을 의미합니다.
수동으로 번역하거나 Cats 업데이트를 기다리십시오.
업데이트 및 토론을 원하시면 Discord에 가입해주세요. 링크는 아래의 크레딧 패널에서 찾을 수 있습니다.","无法从谷歌翻译获取翻译结果！
该问题通常为谷歌翻译 API 更新导致，在插件完成适配前，翻译功能将无法使用
请手动完成翻译，或等待 CATS 插件更新
有关更新及问题讨论，可加入我们的 Discord 社群，链接见下方鸣谢面板"
AutoVisemeButton.label,Create Visemes,バイセムを作成する,립싱크(Visemes) 생성,创建口型动画
AutoVisemeButton.desc,"This will give your avatar the ability to mimic each sound that comes from your mouth by blending between various shapes to mimic your actual voice.
It will generate 15 shape keys from the 3 shape keys you specify",,"당신의 아바타가 다양한 쉐이프키들을 조합하여 실제 음성을 모방하여 말하는 것처럼 보이게 합니다.
3개의 쉐이프키를 지정하여 새로운 15 종류의 쉐이프키들을 생성합니다.","为化身添加口型同步功能，通过混合多种面部形状模拟发声时的嘴部动作
基于你指定的 3 个形状键，自动生成 15 个口型形状键"
AutoVisemeButton.error.noShapekeys,This mesh has no shapekeys!,,이 메쉬는 쉐이프키가 없습니다!,该网格无形状键！
AutoVisemeButton.error.selectShapekeys,"Please select the correct mouth shapekeys instead of ""Basis""!",,"""Basis"" 대신에 올바른 입모양 쉐이프키들을 선택하여 주세요!",请选择正确的嘴部形状键，请勿选择基础形状键！
AutoVisemeButton.success,Created mouth visemes!,,입모양 쉐이프키들을 생성했습니다!,嘴部口型动画创建完成！
Scene.armature.label,Armature,アーマチュア,뼈대(Armature),骨骼对象
Scene.armature.desc,Select the armature which will be used by Cats,,Cats에서 쓰여질 뼈대(Armature)를 선택해주세요.,选择 CATS 插件将使用的骨骼对象
Scene.zip_content.label,Zip Content,コンテンツを圧縮する,Zip 내용물,压缩包内容
Scene.zip_content.desc,Select the model you want to import,,불러올 모델을 선택해주세요,选择需要导入的模型
Scene.keep_upper_chest.label,Keep Upper Chest,上部の胸の骨を保つ,Upper Chest 보존,保留上胸部骨骼
Scene.keep_upper_chest.desc,"VRChat now partially supports the Upper Chest bone, so deleting it is no longer necessary.

Uncheck this if you are going to use the legacy SDK2 avatar system. Most people can leave this on.",,"VRChat은 이제 상단 가슴(Upper Chest) 본을 부분적으로 지원하므로 더 이상 삭제할 필요가 없습니다.

경고: 현재 이것은 눈 추적(Eye Tracking)을 망치기 때문에, 눈 추적을 원한다면 이것을 체크하지 말아주세요.","VRChat 现已部分支持上胸部骨骼，无需再删除该骨骼
若你仍使用旧版 SDK2 化身系统，请取消勾选此选项，多数用户保持勾选即可"
Scene.combine_mats.label,Combine Same Materials(Broken),同じマテリアルを組み合わせる,동일한 매테리얼 결합,合并相同材质（功能待修复）
Scene.combine_mats.desc,"Combines similar materials into one, reducing draw calls.

Your avatar should visibly look the same after this operation.
This is a very important step for optimizing your avatar.
If you have problems with this, uncheck this option and tell us!
",,"유사한 매테리얼들을 하나로 결합하여 드로우 콜을 줄입니다.

이 작업 후에도 아바타는 동일하게 보일 것입니다.
이것은 아바타를 최적화하는 데 매우 중요한 단계입니다.
이것에 문제가 있으면이 옵션을 선택 취소하고 우리에게 알려주세요!
","将相似材质合并为单个材质，减少绘制调用次数
执行此操作后，化身的视觉显示效果应无变化
这是优化化身的关键步骤
若使用该功能出现问题，请取消勾选并向我们反馈！"
Scene.remove_zero_weight.label,Remove Zero Weight Bones,ゼロウェイトボーンを削除する,제로 웨이트 본 제거,移除零权重骨骼
Scene.remove_zero_weight.desc,"Cleans up the bones hierarchy, deleting all bones that don't directly affect any vertices.
Uncheck this if bones or vertex groups that you want to keep got deleted",,"본 구조를 정리하고 어느 Vertex에도 영향을 주지 않는 모든 본들을 지웁니다.
유지하려는 본들이나 버텍스 그룹이 지워질 경우 체크해제하세요","清理骨骼层级结构，删除所有未直接影响任何顶点的骨骼
若你需要保留的骨骼或顶点组被误删，请取消勾选此选项"
Scene.keep_end_bones.label,Keep End Bones,エンドボーンを保持,엔드 본(End Bones) 유지,保留末端骨骼
Scene.keep_end_bones.desc,"Saves end bones from deletion.

This can improve skirt movement for dynamic bones, but increases the bone count.
This can also fix issues with crumbled finger bones in Unity.
Make sure to always uncheck ""Add Leaf Bones"" when exporting or use the CATS export button",,"엔드 본들을 유지합니다.

다이나믹본을 사용하는 스커트의 움직임을 향상시키지만 본의 개수를 늘려버립니다.
이것은 Unity에서 부서진 손가락 뼈들과 관련된 문제를 해결할 수도 있습니다.
내보내기 할때는 언제나 ""Add Leaf Bones""을 체크해제하거나 Cats의 내보내기(Export) 버튼을 사용하세요","防止末端骨骼被删除
该设置可提升动态骨骼驱动的裙摆运动效果，但会增加骨骼数量
同时可修复 Unity 中手指骨骼扭曲的问题
导出时请务必取消勾选「添加叶骨骼」选项，或直接使用 CATS 插件的导出按钮"
Scene.keep_twist_bones.label,Keep Twist Bones,ツイストボーンを保持,트위스트 본 유지,保留扭曲骨骼
Scene.keep_twist_bones.desc,"This will keep any bone with ""Twist"" in the name.
So if there are certain bones that you want to keep, you can add ""Twist"" to them and they won't get deleted.

VRChat can now make use of twist bones, so you can use this option to keep them",,"이름에 ""Twist""가 들어간 본들을 유지합니다.
따라서 유지하려는 특정 뼈가있는 경우 이름에 ""Twist""를 추가 할 수 있으며 삭제되지 않습니다.

VRChat은 이제 트위스트 본을 사용할 수 있으므로 이 옵션을 사용하여 유지할 수 있습니다.","保留所有名称中包含「Twist」的骨骼
若你需要保留特定骨骼，可在其名称中添加「Twist」，避免被删除
VRChat 现已支持扭曲骨骼，你可通过此选项保留该类骨骼"
Scene.fix_twist_bones.label,Fix MMD Twist Bones,MMDツイスト ボーンを修正する,MMD 트위스트 본 고치기,修复 MMD 扭曲骨骼
Scene.fix_twist_bones.desc,"This will make MMD arm twist bones usable in VRChat.
WIll only work if the twist bones are properly named.
Required names:
  - ArmTwist[1-3]_[L/R]
  - HandTwist[1-3]_[L/R]

You don't need to enable ""Keep Twist Bones"" for this to work",,"VRChat에서 MMD 팔 트위스트 뼈대를 사용할 수 있습니다.
트위스트 본의 이름이 올바르게 지정된 경우에만 작동합니다.
필요한 이름형식:
  - ArmTwist[1-3]_[L/R]
  - HandTwist[1-3]_[L/R]

이 작업을 위해 ""Keep Twist Bones""를 활성화 할 필요가 없습니다.","让 MMD 的手臂扭曲骨骼可在 VRChat 中正常使用
该功能仅对命名规范的扭曲骨骼生效
骨骼命名要求：
- 手臂扭曲骨骼：ArmTwist [1-3]_[左 / 右]
- 手部扭曲骨骼：HandTwist [1-3]_[左 / 右]
使用该功能无需启用「保留扭曲骨骼」选项"
Scene.join_meshes.label,Join Meshes,メッシュを結合する,메쉬 통합,合并网格
Scene.join_meshes.desc,"Joins all meshes of this model together.
It also:
  - Applies all transformations
  - Repairs broken armature modifiers
  - Applies all decimation and mirror modifiers
  - Merges UV maps correctly

INFO: You should always join your meshes",,"모델의 모든 메쉬들을 통합합니다.
또한:
  - 모든 쉐이프키들의 순서를 올바르게 재설정합니다.
  - 모든 변환(Transforms)을 적용
  - 망가진 아마추어 모디파이어들(armature modifiers)을 고침
  - 모든 데시메이션(decimation)과 미러 모디파이어들(mirror modifiers)을 적용
  - UV맵들을 올바르게 통합","合并模型的所有网格对象
同时执行以下操作：
- 应用所有变换参数
- 修复损坏的骨骼修改器
- 应用所有减面及镜像修改器
- 正确合并 UV 贴图
说明：建议你始终合并模型的网格对象"
Scene.connect_bones.label,Connect Bones,ボーンを接続する,본 연결,连接骨骼
Scene.connect_bones.desc,"This connects all bones to their child bone if they have exactly one child bone.
This will not change how the bones function in any way, it just improves the aesthetic of the armature",,"모든 본들이 정확히 하나의 자식 본을 가지고 있다면 모든 본들을 그것들의 자식 본과 연결시켜줍니다.
뼈의 기능에는 영향을 주지 않으며 뼈대(armature)의 미관을 개선할 뿐입니다.","若某根骨骼仅有一个子骨骼，将该骨骼与子骨骼进行连接
该操作不会改变骨骼的任何功能，仅优化骨骼对象的视觉显示效果"
Scene.fix_materials.label,Fix Materials,マテリアルを修正する,매테리얼 고치기,修复材质
Scene.fix_materials.desc,This will apply some VRChat related fixes to materials,,매테리얼에 일부 VRChat 관련 픽스가 적용됩니다.,针对 VRChat 的使用要求，对材质进行相关修复
Scene.remove_rigidbodies_joints.label,Remove Rigidbodies and Joints,リジッドボディとジョイントを除去,Rigidbodies와 Joints 제거,移除刚体与关节组件
Scene.remove_rigidbodies_joints.desc,"Rigidbodies and joints are used by MMD software to simulate physics.
They are completely useless for VRChat, so removing them is recommended for VRChat users!",,"Rigidbodies와 joints는 MMD software에서 물리연산을 위해 사용되는 것들입니다.
VRChat에 사용되지않으므로 VRChat 유저들에게는 이것들을 지우는 게 좋습니다!","刚体和关节组件是 MMD 软件中用于物理模拟的功能
该功能在 VRChat 中完全无用，建议 VRChat 用户删除！"
Scene.use_google_only.label,Use Old Translations (not recommended),古い翻訳を使用する(推奨しません),구버전 번역을 사용 (권장되지 않음),使用旧版翻译规则（不推荐）
Scene.use_google_only.desc,"Ignores the internal dictionary and only uses the Google Translator for shape key translations.

This will result in slower translation speed and worse translations, but the translations will be like in CATS version 0.9.0 and older.
Only use this if you have animations which rely on the old translations and you don't want to convert them to the new ones",,"내장된 사전 대신에 구글 번역기를 쉐이프키 번역에 사용합니다.

번역 속도가 느려지고 번역의 질이 더 나빠질 수 있지만, 번역은 CATS 0.9.0 버전 혹은 그 이전의 버전처럼 될 것이다.
이전 번역에 의존하는 애니메이션을 새 번역으로 변환하지 않을 경우에만 이 기능을 사용하세요.","忽略插件内置词典，仅通过谷歌翻译完成形状键的翻译
该设置会降低翻译速度且翻译效果更差，但翻译结果与 CATS 0.9.0 及更早版本一致
仅当你有依赖旧版翻译结果的动画、且不愿将其适配新版翻译时，才建议使用此选项"
Scene.show_more_options.label,Show More Options,その他のオプションを表示,더 많은 옵션 보기,显示更多选项
Scene.show_more_options.desc,Shows more model options,,더 많은 모델 옵션 보기,展开更多模型设置选项
Scene.merge_mode.label,Merge Mode,マージモード,통합모드,合并模式
Scene.merge_mode.desc,Mode,,,模式
Scene.merge_mode.armature.label,Merge Armatures,アーマチュアをマージ,뼈대(Armatures) 통합,合并骨骼
Scene.merge_mode.armature.desc,Here you can merge two armatures together.,,,可在此处将两个骨骼对象合并为一个
Scene.merge_mode.mesh.label,Attach Mesh,メッシュを取り付ける,메쉬 붙이기,绑定网格
Scene.merge_mode.mesh.desc,Here you can attach a mesh to an armature.,,,可在此处将网格绑定至骨骼对象
Scene.merge_armature_into.label,Base Armature,ベースアーマチュア,기본 뼈대(Armature),基础骨骼
Scene.merge_armature_into.desc,"Select the armature into which the other armature will be merged
",,,选择作为合并目标的基础骨骼对象
Scene.merge_armature.label,Merge Armature,メッシュを取り付ける,뼈대(Armature) 통합,待合并骨骼
Scene.merge_armature.desc,"Select the armature which will be merged into the selected armature above
",,,选择需要合并至上方选中骨骼的待合并骨骼对象
Scene.attach_to_bone.label,Attach to Bone,骨に取り付ける,본에 붙이기,绑定至骨骼
Scene.attach_to_bone.desc,"Select the bone to which the armature will be attached to
",,,选择待合并骨骼将绑定到的目标骨骼
Scene.attach_mesh.label,Attach Mesh,メッシュを取り付ける,메쉬 붙이기,待绑定网格
Scene.attach_mesh.desc,"Select the mesh which will be attached to the selected bone in the selected armature
",,,选择需要绑定至选中骨骼对象中指定骨骼的网格对象
Scene.merge_same_bones.label,Merge All Bones,すべてのボーンをマージ,모든 뼈 통합,合并所有同名骨骼
Scene.merge_same_bones.desc,"Merges all bones together that have the same name instead of only the base bones (Hips, Spine, etc).
You will have to make sure that all the bones you want to merge have the same name.

If this is checked, you won't need to fix the model with CATS beforehand but it is still advised to do so.
If this is unchecked, CATS will only merge the base bones (Hips, Spine, etc).

This can have unintended side effects, so check your model afterwards!
",,,"合并所有名称相同的骨骼，而非仅合并基础骨骼（臀部、脊柱等）
你需要确保所有需要合并的骨骼名称完全一致
勾选此选项后，无需提前使用 CATS 插件修复模型，但仍建议执行修复操作
取消勾选此选项，CATS 插件将仅合并基础骨骼（臀部、脊柱等）
该操作可能产生意外副作用，合并后请仔细检查模型！"
Scene.apply_transforms.label,Apply Transforms,変換を適用する,변환 적용,应用变换参数
